Date,Max Temperature,Min Temperature
2026-02-01,13.9,-3.3
2026-02-02,8.3,-3.3
2026-02-03,13.3,-1.7
2026-02-04,16.7,-1.1
2026-02-05,23.3,5.6
2026-02-06,15.0,3.3
2026-02-07,17.2,3.3
2026-02-08,20.6,6.7
2026-02-09,17.2,6.1
2026-02-10,21.1,6.1
2026-02-11,26.1,9.4
2026-02-12,23.9,11.7
2026-02-13,24.4,12.2
2026-02-14,23.3,12.2
2026-02-15,23.9,12.8
2026-02-16,27.8,17.8
2026-02-17,21.1,13.3
2026-02-18,23.3,15.0
2026-02-19,24.4,15.0
2026-02-20,27.8,15.0
2026-02-21,30.0,17.2
2026-02-22,29.4,17.2
2026-02-23,26.7,6.1
2026-02-24,14.4,2.8
2026-02-25,14.4,1.7
2026-02-26,23.3,1.7
2026-02-27,25.0,10.0
2026-02-28,26.7,18.9
