Date,Max Temperature,Min Temperature
2024-02-01,22.8,8.9
2024-02-02,20.0,9.4
2024-02-03,23.9,8.9
2024-02-04,22.2,9.4
2024-02-05,22.8,11.1
2024-02-06,20.0,12.2
2024-02-07,17.8,10.6
2024-02-08,19.4,11.7
2024-02-09,22.2,12.2
2024-02-10,22.8,15.0
2024-02-11,25.0,15.6
2024-02-12,27.2,20.0
2024-02-13,28.9,17.8
2024-02-14,23.3,9.4
2024-02-15,20.6,9.4
2024-02-16,22.8,13.3
2024-02-17,25.6,13.3
2024-02-18,19.4,15.0
2024-02-19,16.1,12.2
2024-02-20,16.7,7.2
2024-02-21,19.4,7.2
2024-02-22,20.0,8.9
2024-02-23,22.2,8.9
2024-02-24,26.1,8.9
2024-02-25,22.8,11.1
2024-02-26,22.8,8.9
2024-02-27,22.2,8.9
2024-02-28,23.9,10.6
2024-02-29,28.3,13.3
