Date,Max Temperature,Min Temperature
2025-02-01,23.3,6.1
2025-02-02,25.6,3.9
2025-02-03,23.9,5.6
2025-02-04,27.8,12.8
2025-02-05,27.2,10.6
2025-02-06,26.7,15.6
2025-02-07,24.4,16.1
2025-02-08,26.1,16.7
2025-02-09,28.3,17.2
2025-02-10,27.8,17.2
2025-02-11,23.9,15.0
2025-02-12,26.1,18.3
2025-02-13,23.3,16.1
2025-02-14,23.3,10.6
2025-02-15,25.0,15.6
2025-02-16,23.3,11.7
2025-02-17,16.7,4.4
2025-02-18,19.4,0.6
2025-02-19,14.4,10.6
2025-02-20,11.7,3.9
2025-02-21,12.2,0.0
2025-02-22,18.9,2.8
2025-02-23,15.6,3.3
2025-02-24,16.1,10.0
2025-02-25,25.0,10.6
2025-02-26,27.2,5.0
2025-02-27,26.1,5.6
2025-02-28,25.0,4.4
