Date,Max Temperature,Min Temperature
2026-02-01,6.1,-5.6
2026-02-02,13.3,-7.8
2026-02-03,18.3,-3.3
2026-02-04,18.9,3.3
2026-02-05,12.2,-0.6
2026-02-06,20.0,-3.9
2026-02-07,18.9,2.8
2026-02-08,20.0,-2.8
2026-02-09,23.3,4.4
2026-02-10,25.6,3.9
2026-02-11,25.6,11.1
2026-02-12,23.9,8.9
2026-02-13,23.9,3.9
2026-02-14,22.8,6.1
2026-02-15,21.7,12.2
2026-02-16,23.3,13.9
2026-02-17,23.9,5.0
2026-02-18,23.9,10.6
2026-02-19,28.3,17.8
2026-02-20,28.3,20.6
2026-02-21,28.9,20.6
2026-02-22,21.7,7.8
2026-02-23,11.7,2.8
2026-02-24,15.0,-3.3
2026-02-25,21.7,0.0
2026-02-26,25.6,12.2
2026-02-27,22.8,13.9
2026-02-28,18.3,8.9
