Date,Max Temperature,Min Temperature
2026-02-01,11.1,1.7
2026-02-02,14.4,3.3
2026-02-03,20.6,6.7
2026-02-04,23.9,12.2
2026-02-05,23.3,9.4
2026-02-06,18.9,7.2
2026-02-07,26.1,10.6
2026-02-08,23.3,12.2
2026-02-09,23.9,12.2
2026-02-10,24.4,13.3
2026-02-11,25.6,15.0
2026-02-12,27.2,14.4
2026-02-13,27.2,16.1
2026-02-14,26.1,16.7
2026-02-15,27.2,21.1
2026-02-16,30.0,20.6
2026-02-17,26.7,18.3
2026-02-18,26.7,20.0
2026-02-19,27.8,17.2
2026-02-20,28.3,18.3
2026-02-21,28.9,19.4
2026-02-22,31.1,16.7
2026-02-23,17.8,9.4
2026-02-24,19.4,6.1
2026-02-25,22.2,8.9
2026-02-26,26.1,16.7
2026-02-27,28.3,21.1
2026-02-28,30.6,19.4
