Date,Max Temperature,Min Temperature
2024-02-01,23.3,13.3
2024-02-02,25.0,16.1
2024-02-03,25.6,13.9
2024-02-04,23.9,16.7
2024-02-05,20.0,15.6
2024-02-06,21.7,13.9
2024-02-07,25.0,13.3
2024-02-08,25.0,15.0
2024-02-09,24.4,20.0
2024-02-10,25.6,20.0
2024-02-11,26.7,21.7
2024-02-12,29.4,22.2
2024-02-13,27.8,17.2
2024-02-14,26.7,14.4
2024-02-15,25.6,17.2
2024-02-16,26.1,18.9
2024-02-17,28.9,18.9
2024-02-18,24.4,17.2
2024-02-19,21.1,14.4
2024-02-20,21.1,12.2
2024-02-21,23.3,12.8
2024-02-22,25.0,13.3
2024-02-23,26.1,13.3
2024-02-24,24.4,15.6
2024-02-25,25.0,12.2
2024-02-26,24.4,13.3
2024-02-27,25.6,15.0
2024-02-28,26.7,20.0
2024-02-29,27.2,18.9
