# STATION: KMLB		
# STATION NAME: Melbourne International Airport		
# LATITUDE: 28.09973		
# LONGITUDE: -80.63560		
# ELEVATION [ft]: 20.0		
# STATE: FL		
Station_ID	Date_Time	precip_accum_one_hour_set_1
		Inches
KMLB	09/19/2024 10:55 UTC	
KMLB	09/19/2024 11:00 UTC	
KMLB	09/19/2024 11:05 UTC	
KMLB	09/19/2024 11:10 UTC	
KMLB	09/19/2024 11:15 UTC	
KMLB	09/19/2024 11:20 UTC	
KMLB	09/19/2024 11:25 UTC	
KMLB	09/19/2024 11:30 UTC	
KMLB	09/19/2024 11:35 UTC	
KMLB	09/19/2024 11:40 UTC	
KMLB	09/19/2024 11:45 UTC	
KMLB	09/19/2024 11:50 UTC	
KMLB	09/19/2024 11:53 UTC	
KMLB	09/19/2024 11:55 UTC	
KMLB	09/19/2024 12:00 UTC	
KMLB	09/19/2024 12:05 UTC	
KMLB	09/19/2024 12:10 UTC	
KMLB	09/19/2024 12:15 UTC	
KMLB	09/19/2024 12:20 UTC	
KMLB	09/19/2024 12:25 UTC	
KMLB	09/19/2024 12:30 UTC	
KMLB	09/19/2024 12:35 UTC	
KMLB	09/19/2024 12:40 UTC	
KMLB	09/19/2024 12:45 UTC	
KMLB	09/19/2024 12:50 UTC	
KMLB	09/19/2024 12:53 UTC	
KMLB	09/19/2024 12:55 UTC	
KMLB	09/19/2024 13:00 UTC	
KMLB	09/19/2024 13:05 UTC	
KMLB	09/19/2024 13:10 UTC	
KMLB	09/19/2024 13:15 UTC	
KMLB	09/19/2024 13:20 UTC	
KMLB	09/19/2024 13:25 UTC	
KMLB	09/19/2024 13:30 UTC	
KMLB	09/19/2024 13:35 UTC	
KMLB	09/19/2024 13:40 UTC	
KMLB	09/19/2024 13:45 UTC	
KMLB	09/19/2024 13:50 UTC	
KMLB	09/19/2024 13:53 UTC	
KMLB	09/19/2024 13:55 UTC	
KMLB	09/19/2024 14:00 UTC	
KMLB	09/19/2024 14:05 UTC	
KMLB	09/19/2024 14:10 UTC	
KMLB	09/19/2024 14:15 UTC	
KMLB	09/19/2024 14:20 UTC	
KMLB	09/19/2024 14:25 UTC	
KMLB	09/19/2024 14:30 UTC	
KMLB	09/19/2024 14:35 UTC	
KMLB	09/19/2024 14:40 UTC	
KMLB	09/19/2024 14:45 UTC	
KMLB	09/19/2024 14:50 UTC	
KMLB	09/19/2024 14:53 UTC	
KMLB	09/19/2024 14:55 UTC	
KMLB	09/19/2024 15:00 UTC	
KMLB	09/19/2024 15:05 UTC	
KMLB	09/19/2024 15:10 UTC	
KMLB	09/19/2024 15:15 UTC	
KMLB	09/19/2024 15:20 UTC	
KMLB	09/19/2024 15:25 UTC	
KMLB	09/19/2024 15:30 UTC	
KMLB	09/19/2024 15:35 UTC	
KMLB	09/19/2024 15:40 UTC	
KMLB	09/19/2024 15:45 UTC	
KMLB	09/19/2024 15:50 UTC	
KMLB	09/19/2024 15:53 UTC	
KMLB	09/19/2024 15:55 UTC	
KMLB	09/19/2024 16:00 UTC	
KMLB	09/19/2024 16:05 UTC	
KMLB	09/19/2024 16:10 UTC	
KMLB	09/19/2024 16:15 UTC	
KMLB	09/19/2024 16:20 UTC	
KMLB	09/19/2024 16:25 UTC	
KMLB	09/19/2024 16:30 UTC	
KMLB	09/19/2024 16:35 UTC	
KMLB	09/19/2024 16:40 UTC	
KMLB	09/19/2024 16:45 UTC	
KMLB	09/19/2024 16:50 UTC	
KMLB	09/19/2024 16:53 UTC	
KMLB	09/19/2024 16:55 UTC	
KMLB	09/19/2024 17:00 UTC	
KMLB	09/19/2024 17:05 UTC	
KMLB	09/19/2024 17:10 UTC	
KMLB	09/19/2024 17:15 UTC	
KMLB	09/19/2024 17:20 UTC	
KMLB	09/19/2024 17:25 UTC	
KMLB	09/19/2024 17:30 UTC	
KMLB	09/19/2024 17:35 UTC	
KMLB	09/19/2024 17:40 UTC	
KMLB	09/19/2024 17:45 UTC	
KMLB	09/19/2024 17:50 UTC	
KMLB	09/19/2024 17:53 UTC	
KMLB	09/19/2024 17:55 UTC	
KMLB	09/19/2024 18:00 UTC	
KMLB	09/19/2024 18:05 UTC	
KMLB	09/19/2024 18:10 UTC	
KMLB	09/19/2024 18:15 UTC	
KMLB	09/19/2024 18:20 UTC	
KMLB	09/19/2024 18:25 UTC	
KMLB	09/19/2024 18:30 UTC	
KMLB	09/19/2024 18:35 UTC	
KMLB	09/19/2024 18:40 UTC	
KMLB	09/19/2024 18:45 UTC	
KMLB	09/19/2024 18:50 UTC	
KMLB	09/19/2024 18:53 UTC	
KMLB	09/19/2024 18:55 UTC	
KMLB	09/19/2024 19:00 UTC	
KMLB	09/19/2024 19:05 UTC	
KMLB	09/19/2024 19:10 UTC	
KMLB	09/19/2024 19:15 UTC	
KMLB	09/19/2024 19:20 UTC	
KMLB	09/19/2024 19:25 UTC	
KMLB	09/19/2024 19:30 UTC	
KMLB	09/19/2024 19:35 UTC	
KMLB	09/19/2024 19:40 UTC	
KMLB	09/19/2024 19:45 UTC	
KMLB	09/19/2024 19:50 UTC	
KMLB	09/19/2024 19:53 UTC	
KMLB	09/19/2024 19:55 UTC	
KMLB	09/19/2024 20:00 UTC	
KMLB	09/19/2024 20:05 UTC	
KMLB	09/19/2024 20:08 UTC	
KMLB	09/19/2024 20:10 UTC	
KMLB	09/19/2024 20:15 UTC	
KMLB	09/19/2024 20:19 UTC	
KMLB	09/19/2024 20:20 UTC	
KMLB	09/19/2024 20:25 UTC	
KMLB	09/19/2024 20:30 UTC	
KMLB	09/19/2024 20:35 UTC	
KMLB	09/19/2024 20:40 UTC	
KMLB	09/19/2024 20:45 UTC	
KMLB	09/19/2024 20:50 UTC	
KMLB	09/19/2024 20:53 UTC	0.001
KMLB	09/19/2024 20:55 UTC	
KMLB	09/19/2024 21:00 UTC	
KMLB	09/19/2024 21:05 UTC	0.05
KMLB	09/19/2024 21:09 UTC	0.07
KMLB	09/19/2024 21:10 UTC	0.08
KMLB	09/19/2024 21:15 UTC	0.1
KMLB	09/19/2024 21:20 UTC	0.12
KMLB	09/19/2024 21:25 UTC	0.15
KMLB	09/19/2024 21:27 UTC	0.16
KMLB	09/19/2024 21:30 UTC	0.18
KMLB	09/19/2024 21:35 UTC	0.2
KMLB	09/19/2024 21:39 UTC	0.22
KMLB	09/19/2024 21:40 UTC	0.22
KMLB	09/19/2024 21:45 UTC	0.23
KMLB	09/19/2024 21:49 UTC	0.23
KMLB	09/19/2024 21:50 UTC	0.23
KMLB	09/19/2024 21:53 UTC	0.23
KMLB	09/19/2024 21:55 UTC	
KMLB	09/19/2024 22:00 UTC	
KMLB	09/19/2024 22:05 UTC	
KMLB	09/19/2024 22:10 UTC	0.01
KMLB	09/19/2024 22:15 UTC	0.01
KMLB	09/19/2024 22:20 UTC	0.01
KMLB	09/19/2024 22:25 UTC	0.01
KMLB	09/19/2024 22:30 UTC	0.01
KMLB	09/19/2024 22:35 UTC	0.01
KMLB	09/19/2024 22:40 UTC	0.01
KMLB	09/19/2024 22:45 UTC	0.01
KMLB	09/19/2024 22:50 UTC	0.01
KMLB	09/19/2024 22:53 UTC	0.01
KMLB	09/19/2024 22:55 UTC	
KMLB	09/19/2024 23:00 UTC	
KMLB	09/19/2024 23:05 UTC	
KMLB	09/19/2024 23:10 UTC	
KMLB	09/19/2024 23:15 UTC	
KMLB	09/19/2024 23:20 UTC	
KMLB	09/19/2024 23:25 UTC	
KMLB	09/19/2024 23:30 UTC	
KMLB	09/19/2024 23:35 UTC	
KMLB	09/19/2024 23:40 UTC	
KMLB	09/19/2024 23:45 UTC	
KMLB	09/19/2024 23:50 UTC	
KMLB	09/19/2024 23:53 UTC	
KMLB	09/19/2024 23:55 UTC	
KMLB	09/20/2024 00:00 UTC	
